Hevy Name,Our DB Match,Status,Muscle Group,Equipment,Hevy URL
Kettlebell Goblet Squat,,unmatched,Quadriceps,Kettlebell,https://www.hevyapp.com/exercises/kettlebell-goblet-squat/
Kettlebell Turkish Get Up,,unmatched,Full Body,Kettlebell,https://www.hevyapp.com/exercises/kettlebell-turkish-get-up/
Kipping Pull Up,,unmatched,Lats,None,https://www.hevyapp.com/exercises/kipping-pull-up/
Knee Raise Parallel Bars,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/vertical-knee-raise/
Lat Pulldown (Cable),Wide-Grip Lat Pulldown,matched,Lats,Machine,https://www.hevyapp.com/exercises/how-to-lat-pulldown-cable/
Lat Pulldown (Machine),Wide-Grip Lat Pulldown,matched,Lats,Machine,https://www.hevyapp.com/exercises/how-to-lat-pulldown-machine/
Lat Pulldown (band),Wide-Grip Lat Pulldown,matched,Lats,Machine,https://www.hevyapp.com/exercises/lat-pulldown-band/
Lateral Leg Raises,,unmatched,Glutes,None,https://www.hevyapp.com/exercises/lateral-leg-raises/
Lateral Raise (Dumbbell),Side Lateral Raise,matched,Shoulders,Dumbbell,https://www.hevyapp.com/exercises/how-to-lateral-raise-dumbbell/
Lateral Squat,,unmatched,Quadriceps,Bodyweight,https://www.hevyapp.com/exercises/how-to-lateral-squat/
Leg Raise Parallel Bars,,unmatched,Abdominals,Machine,https://www.hevyapp.com/exercises/leg-raises/
Lunge (Barbell),Barbell Lunge,matched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/barbell-lunges/
Lunge (Dumbbell),Barbell Lunge,matched,Quadriceps,Dumbbell,https://www.hevyapp.com/exercises/how-to-lunge-dumbbell/
Lying Knee Raise,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/lying-knee-raises/
Meadows Row,,unmatched,Upper Back,Barbell,https://www.hevyapp.com/exercises/meadows-row/
Muscle Up,Muscle Up,matched,Full Body,Machine,https://www.hevyapp.com/exercises/muscle-up/
Oblique Crunch,Decline Oblique Crunch,matched,Abdominals,None,https://www.hevyapp.com/exercises/oblique-crunches/
One-Arm Push-Up,,unmatched,Full Body,None,https://www.hevyapp.com/exercises/one-arm-push-up/
One-Arm Tricep Extension (Dumbbell),,unmatched,Triceps,Dumbbell,https://www.hevyapp.com/exercises/one-arm-tricep-extension-dumbbell/
Overhead Squat,Overhead Squat,matched,Full Body,Barbell,https://www.hevyapp.com/exercises/overhead-squat/
Pendlay Row,,unmatched,Upper Back,Barbell,https://www.hevyapp.com/exercises/pendlay-row/
Pinwheel Curl (Dumbbell),,unmatched,Biceps,Dumbbell,https://www.hevyapp.com/exercises/how-to-pinwheel-curl-dumbbell/
Plate Curls,Reverse Plate Curls,matched,Biceps,None,https://www.hevyapp.com/exercises/plate-curls/
Plate Front Raise,,unmatched,Shoulders,Other,https://www.hevyapp.com/exercises/how-to-plate-front-raise/
Plate Press,,unmatched,Chest,None,https://www.hevyapp.com/exercises/plate-press/
Pull Up,,unmatched,Lats,None,https://www.hevyapp.com/exercises/pull-up/
Pullover (Dumbbell),Straight-Arm Dumbbell Pullover,matched,Chest,Dumbbell,https://www.hevyapp.com/exercises/dumbbell-pullover/
Push Press,Push Press,matched,Shoulders,Barbell,https://www.hevyapp.com/exercises/how-to-push-press/
Push Up (Weighted),,unmatched,Chest,None,https://www.hevyapp.com/exercises/weighted-push-ups/
Rack Pull,,unmatched,Lower Back,Barbell,https://www.hevyapp.com/exercises/how-to-rack-pull/
Renegade Row,Alternating Renegade Row,matched,Upper Back,Dumbbell,https://www.hevyapp.com/exercises/how-to-renegade-row/
Reverse Curl,,unmatched,Biceps,Barbell,https://www.hevyapp.com/exercises/reverse-curl/
Reverse Lunge,Crossover Reverse Lunge,matched,Quadriceps,None,https://www.hevyapp.com/exercises/reverse-lunge/
Reverse Plank,,unmatched,Abdominals,Bodyweight,https://www.hevyapp.com/exercises/how-to-reverse-plank/
Ring Dips,Ring Dips,matched,Triceps,None,https://www.hevyapp.com/exercises/ring-dips/
Russian Twist (Bodyweight),Russian Twist,matched,Abdominals,None,https://www.hevyapp.com/exercises/russian-twists/
Russian Twist (weighted),Russian Twist,matched,Abdominals,weighted,https://www.hevyapp.com/exercises/russian-twist-weighted/
Scapular Pull-ups,,unmatched,Upper Back,None,https://www.hevyapp.com/exercises/scapular-pull-ups/
Seated Calf Raises,,unmatched,Calves,Machine,https://www.hevyapp.com/exercises/seated-calf-raises/
Seated Overhead Press (Barbell),,unmatched,Shoulders,Barbell,https://www.hevyapp.com/exercises/seated-overhead-barbell-press/
Shrug (Barbell),Snatch Shrug,matched,Traps,Barbell,https://www.hevyapp.com/exercises/shrug-barbell/
Shrug (Dumbbell),Snatch Shrug,matched,Traps,Dumbbell,https://www.hevyapp.com/exercises/how-to-shrug-dumbbell/
Single Arm Lat Pulldown,,unmatched,Lats,Machine,https://www.hevyapp.com/exercises/how-to-single-arm-lat-pulldown/
Single Leg Glute Bridge,Single Leg Glute Bridge,matched,Glutes,None,https://www.hevyapp.com/exercises/single-leg-glute-bridge/
Single Leg Hip Thrust,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/single-leg-hip-thrust/
Single Leg Romanian Deadlift (Dumbbell),,unmatched,Hamstrings,Dumbbell,https://www.hevyapp.com/exercises/how-to-single-leg-romanian-deadlift-dumbbell/
Single Leg Standing Calf Raise (Dumbbell),,unmatched,Calves,Dumbbell,https://www.hevyapp.com/exercises/how-to-single-leg-standing-calf-raise-dumbbell/
Sissy Squat,Weighted Sissy Squat,matched,Quadriceps,None,https://www.hevyapp.com/exercises/sissy-squat/
Sit Ups,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/sit-ups/
Skullcrusher (barbell),EZ-Bar Skullcrusher,matched,Triceps,Barbell,https://www.hevyapp.com/exercises/skullcrusher-barbell/
Spiderman,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/spiderman-plank/
Split Squat (Dumbbell),Suspended Split Squat,matched,Quadriceps,Dumbbell,https://www.hevyapp.com/exercises/dumbbell-split-squat/
Standing Leg Curls,,unmatched,Hamstrings,Machine,https://www.hevyapp.com/exercises/how-to-standing-leg-curls/
Standing Military Press (Barbell),Standing Military Press,matched,Shoulders,Barbell,https://www.hevyapp.com/exercises/how-to-standing-military-press-barbell/
Sternum Pull up (Gironda),,unmatched,Lats,None,https://www.hevyapp.com/exercises/sternum-pull-up-gironda/
Stiff / straight leg deadlift,,unmatched,Hamstrings,Barbell,https://www.hevyapp.com/exercises/stiff-straight-leg-deadlift/
Sumo Deadlift,Sumo Deadlift,matched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/sumo-deadlift/
Sumo Squat (barbell),,unmatched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/sumo-squat-barbell/
Superman,Superman,matched,Lower Back,Bodyweight,https://www.hevyapp.com/exercises/how-to-superman/
T Bar Row,,unmatched,Upper Back,Barbell,https://www.hevyapp.com/exercises/how-to-t-bar-row/
Thruster (Kettlebell),Kettlebell Thruster,matched,Full Body,Kettlebell,https://www.hevyapp.com/exercises/kettlebell-thruster/
Triceps Dip (Weighted),,unmatched,Triceps,Machine,https://www.hevyapp.com/exercises/triceps-dip-weighted/
Triceps Extension (Suspension),Machine Triceps Extension,matched,Triceps,Suspension Band,https://www.hevyapp.com/exercises/trx-tricep-extension/
Triceps Extension (barbell),Machine Triceps Extension,matched,Triceps,Barbell,https://www.hevyapp.com/exercises/triceps-extension-barbell/
Triceps Kickback,,unmatched,Triceps,Dumbbell,https://www.hevyapp.com/exercises/how-to-triceps-kickback/
Triceps Rope Pushdown,,unmatched,Triceps,Machine,https://www.hevyapp.com/exercises/how-to-triceps-rope-pushdown/
Upright Row (Barbell),,unmatched,Traps,Barbell,https://www.hevyapp.com/exercises/how-to-upright-row-barbell/
V Up,,unmatched,Abdominals,Bodyweight,https://www.hevyapp.com/exercises/how-to-v-up/
Wall Sit,,unmatched,Quadriceps,Other,https://www.hevyapp.com/exercises/how-to-wall-sit/
Zercher Squat,,unmatched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/how-to-zercher-squat/
Zottman Curl (Dumbbell),Zottman Curl,matched,Biceps,Dumbbell,https://www.hevyapp.com/exercises/how-to-zottman-curl-dumbbell/
